通番	文番号	単語	標準ペルシア語１	標準ペルシア語２	標準ペルシア語3	標準ペルシア語４
5980	3019	بچه های	بچه	ها		
1164	3037	بزا	بز	ها		
5178	3035	دندونای	دندان	ها		
5734	10002	روز ها	روز	ها		
4807	2005	روزا	روز	ها		
4023	5049	شیرا	شیر	ها		
1789	5051	شیرا	شیر	ها		
5467	5053	شیرا	شیر	ها		
5497	5063	شیرا	شیر	ها		
1171	3037	گرگا	گرگ	ها		
5048	2060	ناخنای	ناخن	ها		
5946	2056	همبونه ها	همبونه	ها		
1305	4009	بازم	باز	هم		
2970	2024	بازم	باز	هم		
593	2022	حبه انگورم	حبهانگور	هم		
3965	5034	رام	را	هم		
3093	2042	فردام	فردا	هم		
3139	2049	فردام	فردا	هم		
3425	3023	فردام	فردا	هم		
1168	3037	گرگم	گرگ	هم		
2074	8007	گرگم	گرگ	هم		
4496	9026	مام	من	هم		
3034	2035	منم	من	هم		
5022	2057	نخودام	نخود	هم		
5016	2056	ورم	ور	هم		
1464	4035	میانو	آمدن	و		
1465	4035	میرنو	رفتن	و		
4738	1041	زنون	زدن	و		
4753	1046	زنون	زدن	و		
872	2061	نشستنو	نشستن	و		
4672	1023	گشنگی	گرسنگی			
5635	8010	ورداره	برداشتن			
2103	8011	ورداشت	برداشتن			
920	2063	ورداشتن	برداشتن			
2035	7008	ورمیداره	برداشتن			
5291	4024	الله	الله	神		
5295	4024	الله	الله	神		
5299	4024	الله	الله	神		
5325	4029	الله	الله	神		
5329	4029	الله	الله	神		
5333	4029	الله	الله	神		
535	2014	ا	ا			
3531	3043	آب	آب			
3533	3043	آب	آب			
3780	4031	آب	آب			
3783	4032	آب	آب			
3786	4033	آب	آب			
5339	4034	آب	آب			
5336	4033	آب های	آب			
5438	5040	آبجوش	آبجوش			
5441	5041	آبجوش	آبجوش			
1729	5042	آبجوش	آبجوش			
4004	5045	آبجوش	آبجوش			
4104	5065	آبجوش	آبجوش			
4108	5065	آبجوش	آبجوش			
5509	5065	آبجوش	آبجوش			
4513	10002	اتفاق	اتفاق			
6101	6015	اثری	اثر			
4219	6016	اثری	اثر			
5566	6016	اثری	اثر			
5570	6017	اثری	اثر			
2033	7008	آخر	آخر			
3459	3028	ادبی	ادبی			
3479	3033	ادبی	ادبی			
5535	6002	آدم	آدم			
4581	10014	آرام	آرام			
5897	2021	اره	آره			
3173	2051	اره	آره			
3149	2050	ا	از			
5125	3014	ا	از			
6072	5049	ا	از			
4196	6014	ا	از			
6237	6015	ا	از			
6103	6016	ا	از			
6107	6017	ا	از			
4610	1001	از	از			
4634	1006	از	از			
4671	1023	از	از			
2602	1030	از	از			
2606	1030	از	از			
2737	1052	از	از			
2743	1053	از	از			
4773	1055	از	از			
4785	1055	از	از			
2786	1056	از	از			
4795	2001	از	از			
4802	2004	از	از			
4806	2005	از	از			
4832	2010	از	از			
2870	2011	از	از			
2919	2017	از	از			
5903	2023	از	از			
2981	2027	از	از			
6194	2027	از	از			
5925	2031	از	از			
4944	2039	از	از			
4969	2045	از	از			
4998	2050	از	از			
3183	2052	از	از			
3206	2056	از	از			
5019	2056	از	از			
3221	2057	از	از			
3241	2059	از	از			
3245	2059	از	از			
3247	2059	از	از			
